MODELYEAR,Brands,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
2014,ACURA,COMPACT,2,4,AS5,Z,9.9,6.7,8.5,33,196
2014,ACURA,COMPACT,2.4,4,M6,Z,11.2,7.7,9.6,29,221
2014,ACURA,COMPACT,1.5,4,AV7,Z,6,5.8,5.9,48,136
2014,ACURA,SUV_SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,25,255
2014,ACURA,SUV_SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27,244
2014,ACURA,MID_SIZE,3.5,6,AS6,Z,11.9,7.7,10,28,230
2014,ACURA,MID_SIZE,3.5,6,AS6,Z,11.8,8.1,10.1,28,232
2014,ACURA,MID_SIZE,3.7,6,AS6,Z,12.8,9,11.1,25,255
2014,ACURA,MID_SIZE,3.7,6,M6,Z,13.4,9.5,11.6,24,267
2014,ACURA,COMPACT,2.4,4,AS5,Z,10.6,7.5,9.2,31,212
2014,ACURA,COMPACT,2.4,4,M6,Z,11.2,8.1,9.8,29,225
2014,ACURA,COMPACT,3.5,6,AS5,Z,12.1,8.3,10.4,27,239
2014,ASTON MARTIN,MINICOMPACT,5.9,12,A6,Z,18,12.6,15.6,18,359
2014,ASTON MARTIN,SUBCOMPACT,5.9,12,A6,Z,18,12.6,15.6,18,359
2014,ASTON MARTIN,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
2014,ASTON MARTIN,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354
2014,ASTON MARTIN,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
2014,ASTON MARTIN,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354
2014,ASTON MARTIN,MINICOMPACT,5.9,12,A6,Z,18,12.6,15.6,18,359
2014,AUDI,COMPACT,2,4,AV8,Z,9.9,7.4,8.8,32,202
2014,AUDI,COMPACT,2,4,AS8,Z,11.5,8.1,10,28,230
2014,AUDI,COMPACT,2,4,M6,Z,10.8,7.5,9.3,30,214
2014,AUDI,SUBCOMPACT,2,4,AS8,Z,11.5,8.1,10,28,230
2014,AUDI,SUBCOMPACT,2,4,AS8,Z,11.5,8.1,10,28,230
2014,AUDI,SUBCOMPACT,2,4,M6,Z,10.8,7.5,9.3,30,214
2014,AUDI,MID_SIZE,2,4,AS8,Z,12,8.1,10.2,28,235
2014,AUDI,MID_SIZE,3,6,AS8,Z,12.8,8.6,10.9,26,251
2014,AUDI,MID_SIZE,3,6,AS8,D,9.8,6.4,8.3,34,224
2014,AUDI,MID_SIZE,3,6,AS8,Z,13.1,8.8,11.2,25,258
2014,AUDI,MID_SIZE,3,6,AS8,D,9.8,6.4,8.3,34,224
